personId,season_year,personName,position,games_played,minutes_float,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,fg_percentage,three_pt_percentage,ft_percentage,avg_minutes,avg_points,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_fouls
203086,2014-15,Meyers Leonard,C/F,55,846.5833333333334,125,245,47,112,30,32,46,204,250,32,10,14,39,113,327,19,0.5102040816326531,0.41964285714285715,0.9375,15.392424242424243,5.945454545454545,4.545454545454546,0.5818181818181818,0.18181818181818182,0.2545454545454545,0.7090909090909091,2.0545454545454547
203086,2015-16,Meyers Leonard,F,61,1332.6166666666668,195,435,86,228,35,46,51,263,314,92,8,18,77,183,511,100,0.4482758620689655,0.37719298245614036,0.7608695652173914,21.84617486338798,8.37704918032787,5.147540983606557,1.5081967213114753,0.13114754098360656,0.29508196721311475,1.2622950819672132,3.0
203086,2016-17,Meyers Leonard,C/F,74,1221.9833333333333,146,378,74,213,35,40,27,210,237,71,13,28,35,172,401,-30,0.3862433862433862,0.3474178403755869,0.875,16.513288288288287,5.418918918918919,3.2027027027027026,0.9594594594594594,0.17567567567567569,0.3783783783783784,0.47297297297297297,2.324324324324324
203086,2017-18,Meyers Leonard,C,33,253.65,46,78,11,26,9,11,12,58,70,17,7,0,10,36,112,-35,0.5897435897435898,0.4230769230769231,0.8181818181818182,7.6863636363636365,3.393939393939394,2.121212121212121,0.5151515151515151,0.21212121212121213,0.0,0.30303030303030304,1.0909090909090908
203086,2018-19,Meyers Leonard,C,61,877.7,132,242,50,111,43,51,49,184,233,75,13,9,43,105,357,-77,0.5454545454545454,0.45045045045045046,0.8431372549019608,14.388524590163936,5.852459016393443,3.819672131147541,1.2295081967213115,0.21311475409836064,0.14754098360655737,0.7049180327868853,1.721311475409836
203086,2019-20,Meyers Leonard,C,51,1033.9333333333334,119,234,53,128,18,28,30,230,260,55,14,15,39,107,309,77,0.5085470085470085,0.4140625,0.6428571428571429,20.273202614379088,6.0588235294117645,5.098039215686274,1.0784313725490196,0.27450980392156865,0.29411764705882354,0.7647058823529411,2.0980392156862746
203086,2020-21,Meyers Leonard,C,3,29.383333333333333,3,7,3,7,1,2,0,7,7,2,0,0,2,5,10,-4,0.42857142857142855,0.42857142857142855,0.5,9.794444444444444,3.3333333333333335,2.3333333333333335,0.6666666666666666,0.0,0.0,0.6666666666666666,1.6666666666666667
203086,2022-23,Meyers Leonard,C,9,113.75,14,29,7,18,8,9,12,22,34,1,2,0,6,16,43,-27,0.4827586206896552,0.3888888888888889,0.8888888888888888,12.63888888888889,4.777777777777778,3.7777777777777777,0.1111111111111111,0.2222222222222222,0.0,0.6666666666666666,1.7777777777777777
203087,2012-13,Jeremy Lamb,N/A,23,146.6,24,68,9,30,14,14,5,13,18,5,2,2,6,13,71,-45,0.35294117647058826,0.3,1.0,6.373913043478261,3.0869565217391304,0.782608695652174,0.21739130434782608,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.5652173913043478
203087,2013-14,Jeremy Lamb,N/A,78,1537.85,263,609,88,247,51,64,27,162,189,115,56,26,61,143,665,215,0.4318555008210181,0.3562753036437247,0.796875,19.71602564102564,8.525641025641026,2.423076923076923,1.4743589743589745,0.717948717948718,0.3333333333333333,0.782051282051282,1.8333333333333333
203087,2014-15,Jeremy Lamb,G,47,632.6833333333333,104,250,38,111,49,55,8,99,107,44,21,6,27,52,295,-72,0.416,0.34234234234234234,0.8909090909090909,13.461347517730495,6.276595744680851,2.276595744680851,0.9361702127659575,0.44680851063829785,0.1276595744680851,0.574468085106383,1.1063829787234043
203087,2015-16,Jeremy Lamb,N/A,66,1227.2666666666667,230,510,56,181,64,88,44,208,252,77,42,30,50,105,580,152,0.45098039215686275,0.30939226519337015,0.7272727272727273,18.594949494949496,8.787878787878787,3.8181818181818183,1.1666666666666667,0.6363636363636364,0.45454545454545453,0.7575757575757576,1.5909090909090908
203087,2016-17,Jeremy Lamb,G,62,1142.55,226,491,41,146,110,129,30,234,264,75,27,23,40,98,603,-40,0.46028513238289204,0.2808219178082192,0.8527131782945736,18.42822580645161,9.725806451612904,4.258064516129032,1.2096774193548387,0.43548387096774194,0.3709677419354839,0.6451612903225806,1.5806451612903225
203087,2017-18,Jeremy Lamb,G,80,1967.3666666666668,380,832,94,254,179,208,49,275,324,186,61,32,93,138,1033,77,0.4567307692307692,0.3700787401574803,0.8605769230769231,24.592083333333335,12.9125,4.05,2.325,0.7625,0.4,1.1625,1.725
203087,2018-19,Jeremy Lamb,G,79,2250.1,431,979,115,330,231,260,65,369,434,172,88,32,80,140,1208,49,0.4402451481103167,0.3484848484848485,0.8884615384615384,28.482278481012656,15.291139240506329,5.493670886075949,2.1772151898734178,1.1139240506329113,0.4050632911392405,1.0126582278481013,1.7721518987341771
203087,2019-20,Jeremy Lamb,F/G,46,1291.1666666666667,216,479,53,158,92,110,24,176,200,96,55,22,50,104,577,1,0.4509394572025052,0.33544303797468356,0.8363636363636363,28.068840579710148,12.543478260869565,4.3478260869565215,2.0869565217391304,1.1956521739130435,0.4782608695652174,1.0869565217391304,2.260869565217391
203087,2020-21,Jeremy Lamb,G,36,765.35,120,276,52,128,71,75,25,106,131,53,34,23,22,72,363,-14,0.43478260869565216,0.40625,0.9466666666666667,21.259722222222223,10.083333333333334,3.638888888888889,1.4722222222222223,0.9444444444444444,0.6388888888888888,0.6111111111111112,2.0
203087,2021-22,Jeremy Lamb,N/A,56,935.5,133,347,55,170,89,106,26,128,154,81,31,22,37,59,410,21,0.38328530259365995,0.3235294117647059,0.839622641509434,16.705357142857142,7.321428571428571,2.75,1.4464285714285714,0.5535714285714286,0.39285714285714285,0.6607142857142857,1.0535714285714286
203088,2012-13,Kendall Marshall,G,48,702.3666666666667,56,151,23,73,8,14,4,38,42,143,22,4,57,48,143,-185,0.3708609271523179,0.3150684931506849,0.5714285714285714,14.63263888888889,2.9791666666666665,0.875,2.9791666666666665,0.4583333333333333,0.08333333333333333,1.1875,1.0
203088,2013-14,Kendall Marshall,G,54,1563.8833333333334,170,419,71,178,19,36,15,140,155,477,48,4,150,76,430,-171,0.40572792362768495,0.398876404494382,0.5277777777777778,28.960802469135803,7.962962962962963,2.8703703703703702,8.833333333333334,0.8888888888888888,0.07407407407407407,2.7777777777777777,1.4074074074074074
203088,2014-15,Kendall Marshall,G,28,417.4666666666667,46,101,18,46,8,9,2,26,28,86,21,0,35,26,118,55,0.45544554455445546,0.391304347826087,0.8888888888888888,14.90952380952381,4.214285714285714,1.0,3.0714285714285716,0.75,0.0,1.25,0.9285714285714286
203088,2015-16,Kendall Marshall,G,30,399.65,43,118,16,49,9,13,2,26,28,73,16,2,43,30,111,-114,0.3644067796610169,0.32653061224489793,0.6923076923076923,13.321666666666665,3.7,0.9333333333333333,2.433333333333333,0.5333333333333333,0.06666666666666667,1.4333333333333333,1.0
203089,2012-13,John Henson,C/F,63,827.1666666666666,162,336,0,3,56,105,116,181,297,31,19,42,47,83,380,-37,0.48214285714285715,0.0,0.5333333333333333,13.12962962962963,6.031746031746032,4.714285714285714,0.49206349206349204,0.30158730158730157,0.6666666666666666,0.746031746031746,1.3174603174603174
203089,2013-14,John Henson,C/F,70,1856.4,344,639,0,1,91,177,171,326,497,113,41,116,114,185,779,-428,0.5383411580594679,0.0,0.5141242937853108,26.52,11.128571428571428,7.1,1.6142857142857143,0.5857142857142857,1.6571428571428573,1.6285714285714286,2.642857142857143
203089,2014-15,John Henson,C,67,1228.4833333333333,196,346,0,0,78,137,124,188,312,59,28,135,87,152,470,-76,0.5664739884393064,0.0,0.5693430656934306,18.335572139303483,7.014925373134329,4.656716417910448,0.8805970149253731,0.417910447761194,2.014925373134328,1.2985074626865671,2.2686567164179103
203089,2015-16,John Henson,C,57,959.5166666666667,164,291,0,1,69,117,87,134,221,54,18,109,64,131,397,-146,0.563573883161512,0.0,0.5897435897435898,16.83362573099415,6.964912280701754,3.8771929824561404,0.9473684210526315,0.3157894736842105,1.912280701754386,1.1228070175438596,2.2982456140350878
203089,2016-17,John Henson,C/F,58,1122.5,159,309,0,1,74,107,92,203,295,57,29,78,52,151,392,-49,0.5145631067961165,0.0,0.6915887850467289,19.353448275862068,6.758620689655173,5.086206896551724,0.9827586206896551,0.5,1.3448275862068966,0.896551724137931,2.603448275862069
203089,2017-18,John Henson,C,76,1969.4833333333333,287,502,1,7,90,158,150,363,513,114,45,109,84,202,665,165,0.5717131474103586,0.14285714285714285,0.569620253164557,25.914254385964913,8.75,6.75,1.5,0.5921052631578947,1.4342105263157894,1.105263157894737,2.6578947368421053
203089,2018-19,John Henson,N/A,14,188.41666666666666,31,67,11,31,6,10,16,55,71,14,7,11,12,16,79,1,0.4626865671641791,0.3548387096774194,0.6,13.458333333333332,5.642857142857143,5.071428571428571,1.0,0.5,0.7857142857142857,0.8571428571428571,1.1428571428571428
203089,2019-20,John Henson,C,40,600.1833333333334,95,171,8,36,23,46,46,116,162,54,24,42,36,78,221,-19,0.5555555555555556,0.2222222222222222,0.5,15.004583333333334,5.525,4.05,1.35,0.6,1.05,0.9,1.95
